QUESTIONANSWER1,Euromast park
QUESTIONANSWER2,400 mtr
QUESTIONANSWER3,Tennis
QUESTIONANSWER4,Luxemburg & Belgium
QUESTIONANSWER5,Bike & Bite
QUESTIONANSWER6,Maritiem Museum
QUESTIONANSWER7,De Zwanenboot
QUESTIONANSWER8,FreeStyle Motion
QUESTIONANSWER9,De Markthal
QUESTIONANSWER10,Mediamarkt
QUESTIONANSWER11,LantarenVenster
QUESTIONANSWER12,De Doelen
QUESTIONANSWER13,Melief Bender
QUESTIONANSWER14,Cinerama
QUESTIONANSWER15,7 km
QUESTIONANSWER16,Mullerpier
QUESTIONANSWER17,De Witte Aap
QUESTIONANSWER18,Maastricht
QUESTIONANSWER19,Escape010
QUESTIONANSWER20,Skateboard
QUESTIONANSWER21,Pathé de Kroon
QUESTIONANSWER22,Havenmuseum
QUESTIONANSWER23,Rotterdam Airport
QUESTIONANSWER24,Ajax straat
QUESTIONANSWER25,Centraal Station
QUESTIONANSWER26,925.000 visitors
QUESTIONANSWER27,Markthal
QUESTIONANSWER28,37
QUESTIONANSWER29,400 after Christ
QUESTIONANSWER30,Berets
QUESTIONANSWER31,Because of the river de rotte
QUESTIONANSWER32,St. Laurenskerk
QUESTIONANSWER33,Jules Deelder
QUESTIONANSWER34,The prostitutes
QUESTIONANSWER35,1855
QUESTIONANSWER36,Beurstraverse
QUESTIONANSWER37,De Bijenkorf
QUESTIONANSWER38,ca. 12000
QUESTIONANSWER39,Maasbrug
QUESTIONANSWER40,Maaskant
